experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
procrustes,clip-base,clap-fused,300,,aggregate,0.4225,0.55,0.605,0.6775,3,15,0.133,0.5347340703010559,0.3394095729445877,0.2666648456666621,0.1264655938534659,0.3394095729445878,0.3247472720420313,0.3554584813113312,0.3416968972985889,0.2312981905996119,0.2174418922666189,0.3875973658998651,0.1242550050319699,0.25625
procrustes,clip-base,clap-fused,300,,heldout,0.0,0.0,0.0,0.0,2,15,0.1217391304347826,0.2622547745704651,0.6288157558982216,0.207903998538167,0.1222896790980052,0.6288157558982216,0.4901163023979398,0.8770007873474381,0.2759661344626281,0.1958317392088832,0.1843226838319145,0.5509992236268333,0.0916434506307136,0.0826086956521739
direct,clip-base,clap-fused,300,,aggregate,0.2925,0.4325,0.5175,0.615,3,15,0.115,0.5509088039398193,0.3647298103443471,0.2961153558592617,0.1341557286877451,0.3647298103443471,0.3494933966191182,0.3813552649278788,0.3259755674947483,0.2332917814286092,0.2174418922666189,0.3875973658998651,0.1085336752281293,0.3095
direct,clip-base,clap-fused,300,,heldout,0.0,0.0,0.0,0.0,3,15,0.1130434782608695,0.3434407413005829,0.6444998025932173,0.1038827623815068,0.0600872233887901,0.6444998025932173,0.534054131817161,0.8125375533914398,0.2744062805707444,0.1975875644052854,0.1843226838319145,0.5509992236268333,0.0900835967388299,0.1304347826086956
c-transitive,clip-base,clap-larger,300,0.5,aggregate,0.3325,0.54,0.6375,0.73,10,15,0.0345,0.1715229153633117,0.2227602614935626,0.1356147673419802,0.0512540131364647,0.2227602614935627,0.2293037202628073,0.2165798925254386,0.3423229265729712,0.3315568992040222,0.2174418922666189,0.3875973658998651,0.1248810343063523,0.2665
c-transitive,clip-base,clap-larger,300,0.5,heldout,0.0,0.1,0.1,0.25,7,15,0.02,0.0291659329086542,0.8215217589963366,0.2747672545913495,0.1938365341670388,0.8215217589963366,0.7532928161370611,0.903341226258602,0.2053155887020303,0.2496161790529182,0.2107875617684081,0.6177341696020362,-0.0054719730663778,0.155
d,clip-base,clap-larger,0,0.7,aggregate,0.0625,0.1725,0.23,0.3525,8,15,0.0395,0.4099447429180145,0.2219447058735407,0.1345193794749163,0.0622071689808208,0.2219447058735408,0.2284876321916402,0.2157660716294211,0.5284374798591615,0.4885770015220408,0.2174418922666189,0.3875973658998651,0.3109955875925425,0.18175
d,clip-base,clap-larger,0,0.7,heldout,0.05,0.15,0.15,0.3,7,15,0.01,0.2233128398656845,0.8336972773037123,0.1995942745763265,0.1459545214172395,0.8336972773037122,0.7916432745485871,0.8804699685840793,0.5129048793907192,0.4686957788907925,0.2107875617684081,0.6177341696020362,0.302117317622311,0.2199999999999999
unsup,clip-base,clap-larger,0,1.0,aggregate,0.015,0.035,0.0675,0.1225,2,15,0.099,0.6810665130615234,0.3934808930002444,0.3259983823434784,0.1865047142094039,0.3934808930002444,0.3997501861749268,0.3874052064819375,0.2775745669026806,0.2429362652292565,0.2174418922666189,0.3875973658998651,0.0601326746360616,0.135
unsup,clip-base,clap-larger,0,1.0,heldout,0.0,0.0,0.05,0.2,3,15,0.16,0.6053490042686462,0.785948439079963,0.2324850944964134,0.1553923463471202,0.7859484390799629,0.6995572267056774,0.8966836020355188,0.2383924132794009,0.2344022915942095,0.2107875617684081,0.6177341696020362,0.0276048515109927,0.22
text,clip-base,clap-larger,0,,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.024,0.3074186444282532,0.289125914353456,0.208651693082258,0.0921195206630845,0.289125914353456,0.2879037326043138,0.2903585169212626,0.6260784439604461,0.3646712136523085,0.2174418922666189,0.3875973658998651,0.4086365516938272,0.17725
text,clip-base,clap-larger,0,,heldout,0.05,0.1,0.15,0.35,6,15,0.01,0.4455699622631073,0.8634735441331755,0.4771626384122192,0.468,0.8634735441331755,0.7801606108527532,0.966707745935204,0.6177341696020362,0.3205667128138281,0.2107875617684081,0.6177341696020362,0.406946607833628,0.17
random,clip-base,clap-larger,0,,aggregate,0.0,0.01,0.025,0.04,3,15,0.0155,0.0069251833483576,0.1024692805712285,0.0018179659079188,-0.0020783311409466,0.1024692805712285,0.1060177279873588,0.0991506756045343,0.2007496640301845,0.2182743484366396,0.2174418922666189,0.3875973658998651,-0.0166922282364343,0.06575
random,clip-base,clap-larger,0,,heldout,0.0,0.0,0.0,0.05,5,15,0.0,0.037647645920515,0.7662406169881945,-0.0701170074451131,-0.0549973558963511,0.7662406169881946,0.721180971622296,0.8173062011158313,0.1438390885831726,0.206322010259703,0.2107875617684081,0.6177341696020362,-0.0669484731852355,0.055
procrustes,clip-base,clap-larger,300,,aggregate,0.5675,0.66,0.6975,0.745,2,15,0.0825,0.451205164194107,0.3108174714874394,0.2357363825371348,0.1187090012699059,0.3108174714874394,0.3118918095482403,0.309750509318745,0.3766774072708244,0.2290816580329707,0.2174418922666189,0.3875973658998651,0.1592355150042055,0.2975
procrustes,clip-base,clap-larger,300,,heldout,0.0,0.05,0.1,0.15,5,15,0.09,0.4119903147220611,0.7094545920725261,0.0993643063373781,0.0660112359550561,0.7094545920725263,0.6088127613378168,0.8499600886867965,0.3361347320083468,0.2197351350380498,0.2107875617684081,0.6177341696020362,0.1253471702399387,0.2449999999999999
direct,clip-base,clap-larger,300,,aggregate,0.29,0.4775,0.5725,0.66,5,15,0.081,0.4726467728614807,0.3699112761697242,0.3044463275706193,0.1555379373865151,0.3699112761697242,0.3620761529458344,0.3780929947949525,0.3591473104108528,0.2300215451096814,0.2174418922666189,0.3875973658998651,0.1417054181442339,0.3345
direct,clip-base,clap-larger,300,,heldout,0.0,0.05,0.05,0.05,5,15,0.03,0.3963354825973511,0.7525813440855427,0.2330490631942292,0.199438202247191,0.7525813440855427,0.6458216372742935,0.901627973249604,0.33420657102667,0.2190886034176584,0.2107875617684081,0.6177341696020362,0.1234190092582619,0.2349999999999999
