experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
a,clip-base,—,300,0.5,aggregate,0.74,0.905,0.94,0.9575,7,10,0.152,0.6276618242263794,0.3539123790558441,0.3191400942623377,0.2204320452331692,0.3539123790558441,0.3539352624272532,0.353889498643252,,,,,,0.64125
a,clip-base,—,300,0.5,heldout,0.42,0.73,0.81,0.86,9,10,0.106,0.6221083402633667,0.4422059181364525,0.3033883829336406,0.198480491609487,0.4422059181364525,0.433843116330507,0.4508974611398547,,,,,,0.519
a,clip-large,—,300,0.5,aggregate,0.83,0.915,0.945,0.965,8,10,0.147,0.5870242714881897,0.3002029272789427,0.2624529780285595,0.156234458565247,0.3002029272789427,0.3023492674863811,0.2980868454802935,,,,,,0.67625
a,clip-large,—,300,0.5,heldout,0.5,0.69,0.78,0.86,7,10,0.086,0.6173869967460632,0.4064364369780622,0.2586921409939585,0.1581066519446925,0.4064364369780622,0.4072436298764365,0.4056324376052922,,,,,,0.615
a,dinov2-base,—,300,0.5,aggregate,0.795,0.8675,0.895,0.9325,9,10,0.151,0.5690942406654358,0.3144336708822786,0.2773237265792817,0.1340574876389768,0.3144336708822786,0.3154781326224269,0.31339610217502,,,,,,0.6359999999999999
a,dinov2-base,—,300,0.5,heldout,0.23,0.48,0.59,0.73,9,10,0.052,0.423495352268219,0.3231884044242479,0.151099384726892,0.0912265507952159,0.323188404424248,0.3218988743137486,0.3244883078313211,,,,,,0.416
a,dinov2-large,—,300,0.5,aggregate,0.825,0.8825,0.915,0.945,10,10,0.173,0.5616315603256226,0.3487279406054825,0.3141571709822499,0.1866540286217618,0.3487279406054825,0.3456558152186378,0.3518551646714098,,,,,,0.6515000000000001
a,dinov2-large,—,300,0.5,heldout,0.34,0.54,0.66,0.78,4,10,0.06,0.5461316704750061,0.3496660724859978,0.1786217596677136,0.1947099303693276,0.3496660724859978,0.3467352725452163,0.3526468402950144,,,,,,0.397
a,dinov2-small,—,300,0.5,aggregate,0.7725,0.865,0.905,0.93,9,10,0.145,0.5817029476165771,0.3493348625921184,0.3146951415665048,0.1758155039390656,0.3493348625921184,0.3460907188225574,0.3526404009886839,,,,,,0.6182500000000001
a,dinov2-small,—,300,0.5,heldout,0.24,0.46,0.62,0.72,7,10,0.07,0.5456169247627258,0.3500375684095566,0.1852571969124953,0.1033541626546427,0.3500375684095566,0.3456704036947439,0.3545164937258995,,,,,,0.385
a,vit-mae-base,—,300,0.5,aggregate,0.2525,0.4425,0.53,0.6225,8,10,0.0755,0.4814977347850799,0.1845911661171726,0.1417750178021133,0.077857045398752,0.1845911661171726,0.1848097462736594,0.1843731023927989,,,,,,0.38825
a,vit-mae-base,—,300,0.5,heldout,0.02,0.11,0.16,0.28,5,10,0.046,0.3752714991569519,0.3103238946776226,0.1346931725338322,0.0537981607373246,0.3103238946776226,0.3084958202363458,0.3121737637563118,,,,,,0.267
b,—,clap-fused,300,0.5,aggregate,0.295,0.51,0.6275,0.72,11,20,0.105,0.5744014382362366,0.4146886522612248,0.2947594807578662,0.1370458135860979,0.4146886522612248,0.4101812078100917,0.4192962612155382,,,,,,0.36375
b,—,clap-fused,300,0.5,heldout,0.04,0.17,0.35,0.45,11,20,0.07,0.5256679058074951,0.5370244185448574,0.1972752016249492,0.1124877291363236,0.5370244185448574,0.5227046531724341,0.5521508785505874,,,,,,0.275
b,—,clap-larger,300,0.5,aggregate,0.4075,0.655,0.7475,0.8275,11,20,0.107,0.5350586175918579,0.3866836942238638,0.2629353113957172,0.1156760407667413,0.3866836942238639,0.3851318850419508,0.3882480593850292,,,,,,0.42025
b,—,clap-larger,300,0.5,heldout,0.09,0.31,0.47,0.64,10,20,0.07,0.6042425036430359,0.5722055503771073,0.2089521323631473,0.1449085354541069,0.5722055503771072,0.5749434446731472,0.5694936083307615,,,,,,0.3429999999999999
b,—,clap-unfused,300,0.5,aggregate,0.3275,0.515,0.635,0.7275,14,20,0.1105,0.5963510870933533,0.4458904035224472,0.331912382587063,0.1628496798802512,0.4458904035224472,0.4410981798445201,0.4507878992346187,,,,,,0.37875
b,—,clap-unfused,300,0.5,heldout,0.08,0.19,0.34,0.49,7,20,0.076,0.5704059600830078,0.5619827435490714,0.1994123981522817,0.1122307197780548,0.5619827435490714,0.5534018633467706,0.5708339198938638,,,,,,0.294
b,—,mert-330m,300,0.5,aggregate,0.0875,0.22,0.2925,0.39,8,20,0.1089999999999999,0.5928901433944702,0.3919309696645031,0.2685626983579587,0.1209845533548286,0.3919309696645031,0.3876806879792935,0.3962754791110331,,,,,,0.24025
b,—,mert-330m,300,0.5,heldout,0.01,0.05,0.08,0.2,3,20,0.062,0.4961691200733185,0.5076181967587657,0.1800938576699269,0.0792681784484119,0.5076181967587657,0.4782911812372396,0.5407765819310466,,,,,,0.157
b,—,mert-95m,300,0.5,aggregate,0.18,0.3275,0.43,0.515,9,20,0.0765,0.5658867955207825,0.3244603843049018,0.2009122783016447,0.0811290555019459,0.3244603843049018,0.3332130399199154,0.3161557793646508,,,,,,0.27375
b,—,mert-95m,300,0.5,heldout,0.02,0.08,0.2,0.24,3,20,0.06,0.511527419090271,0.5107653357818047,0.1371121164277606,0.0695009250193604,0.5107653357818046,0.50514989276926,0.5165070291470227,,,,,,0.171
c-transitive,clip-base,clap-fused,300,0.5,aggregate,0.2375,0.42,0.4975,0.6075,8,15,0.0335,0.2024465799331665,0.2130746103035305,0.1246977969775216,0.0522832742729207,0.2130746103035305,0.2208489674590209,0.2058289886065331,0.3277611259594801,0.3216786917863963,0.2174418922666189,0.3875973658998651,0.1103192336928611,0.26075
c-transitive,clip-base,clap-fused,300,0.5,heldout,0.0434782608695652,0.0869565217391304,0.1304347826086956,0.1739130434782608,3,15,0.0,0.0015340615063905,0.7982285569932235,0.062781853120878,0.0568962134588973,0.7982285569932234,0.7764871444147756,0.8212225477605037,0.2102863209163112,0.2341924325329767,0.1843226838319145,0.5509992236268333,0.0259636370843967,0.1956521739130435
d,clip-base,clap-fused,0,0.7,aggregate,0.07,0.1725,0.2475,0.3525,9,15,0.0325,0.4191980063915252,0.2210588752791033,0.1335949319558781,0.0584184812074596,0.2210588752791033,0.228873726179485,0.2137600771206719,0.5276128832013615,0.4895339436955328,0.2174418922666189,0.3875973658998651,0.3101709909347425,0.19
d,clip-base,clap-fused,0,0.7,heldout,0.217391304347826,0.2608695652173913,0.3043478260869565,0.3478260869565217,5,15,0.008695652173913,0.1774476021528244,0.7451159714939897,-0.0567111557788244,-0.047705814146099,0.7451159714939898,0.7077484155871024,0.7866493212605656,0.420284320923263,0.4026676449097712,0.1843226838319145,0.5509992236268333,0.2359616370913485,0.1869565217391304
unsup,clip-base,clap-fused,0,1.0,aggregate,0.01,0.0425,0.07,0.0975,3,15,0.0989999999999999,0.6557573676109314,0.3718542898461808,0.3020074510952208,0.1729918562222689,0.3718542898461808,0.3798041860377277,0.3642303778407604,0.2742621838811757,0.2439873046179264,0.2174418922666189,0.3875973658998651,0.0568202916145567,0.12975
unsup,clip-base,clap-fused,0,1.0,heldout,0.0,0.0,0.0,0.0,2,15,0.0434782608695652,0.5473647117614746,0.5884276801113618,-0.0938563087221921,-0.0606999635435654,0.5884276801113619,0.4968766471498145,0.7213360383587136,0.2432606153762129,0.2252770679936383,0.1843226838319145,0.5509992236268333,0.0589379315442984,0.1565217391304348
text,clip-base,clap-fused,0,,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.034,0.3169291913509369,0.2904306744098206,0.2117409097729663,0.1136149068288732,0.2904306744098206,0.2927666018869902,0.288131727687715,0.6260784439604461,0.3646712136523085,0.2174418922666189,0.3875973658998651,0.4086365516938272,0.1652499999999999
text,clip-base,clap-fused,0,,heldout,0.0,0.0869565217391304,0.1304347826086956,0.217391304347826,1,15,0.0260869565217391,0.4564850628376007,0.7084914517167762,0.071980815923664,0.0445034194141063,0.7084914517167761,0.6287378642981414,0.8114174139156012,0.5509992236268333,0.2981310397499184,0.1843226838319145,0.5509992236268333,0.3666765397949187,0.0652173913043478
random,clip-base,clap-fused,0,,aggregate,0.0,0.01,0.025,0.04,1,15,0.011,0.0005941544659435,0.1076355956235716,0.0072933690444314,3.1379829912503187e-05,0.1076355956235716,0.1113117454989972,0.1041944979310316,0.2007496640301845,0.2182743484366396,0.2174418922666189,0.3875973658998651,-0.0166922282364343,0.0684999999999999
random,clip-base,clap-fused,0,,heldout,0.0,0.0434782608695652,0.0434782608695652,0.0869565217391304,2,15,0.017391304347826,0.1785453259944915,0.7297956168045305,-0.0575937390009669,-0.0487882653061224,0.7297956168045305,0.6848355059778778,0.7810738688845039,0.1255812515997093,0.1824729161607005,0.1843226838319145,0.5509992236268333,-0.0587414322322051,0.0739130434782608
