experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
unsup,clip-base,mert-330m,0,1.0,aggregate,0.0025,0.02,0.035,0.07,2,15,0.10100000000000002,0.7887922525405884,0.3892292764037584,0.3209854904122526,0.19115106521219893,0.3892292764037584,0.39137417774511735,0.38710775691099913,0.2202460653340232,0.21615949019338615,0.21744189226661895,0.38759736589986515,0.002804173067404242,0.07350000000000001
unsup,clip-base,mert-330m,0,1.0,heldout,0.0,0.0,0.05,0.05,1,15,0.07,0.6039016246795654,0.8203983712406583,0.30758543288518164,0.24841772151898733,0.8203983712406583,0.7322452607074682,0.932681478994197,0.15616018224176334,0.17640754654888685,0.19768180143828906,0.5833116496478549,-0.04152161919652572,0.065
text,clip-base,mert-330m,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.011500000000000002,0.32479405403137207,0.19046636844378936,0.10329954289011141,0.0627439208951981,0.1904663684437894,0.18405768426538038,0.19733743893316533,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272,0.13574999999999998
text,clip-base,mert-330m,0,nan,heldout,0.0,0.1,0.25,0.3,5,15,0.01,0.16948774456977844,0.7182751889587147,0.03267430476330539,0.022943037974683545,0.7182751889587146,0.6252226361481283,0.8438691335373719,0.5833116496478549,0.3088439469585726,0.19768180143828906,0.5833116496478549,0.3856298482095658,0.18
random,clip-base,mert-330m,0,nan,aggregate,0.0,0.01,0.025,0.04,4,15,0.0155,-0.0024350988678634167,0.09671142583445198,-0.004260899172810491,0.0016641540711000587,0.096711425834452,0.09898044481925053,0.09454410510977145,0.20074966403018457,0.2182743484366396,0.21744189226661895,0.38759736589986515,-0.016692228236434375,0.076
random,clip-base,mert-330m,0,nan,heldout,0.0,0.0,0.0,0.0,3,15,0.01,-0.12349000573158264,0.8054022004404618,0.07928140635571249,0.06485234510712218,0.8054022004404618,0.7521937504760229,0.8667113619521855,0.14502884008825506,0.19244301842556935,0.19768180143828906,0.5833116496478549,-0.052652961350034,0.085
procrustes,clip-base,mert-330m,300,nan,aggregate,0.5925,0.6575,0.685,0.71,2,15,0.057,0.43652305006980896,0.30210487261697094,0.22400731861344766,0.12744946814062155,0.30210487261697105,0.3065909654422324,0.2977481691394741,0.3796220513312642,0.22143186786642147,0.21744189226661895,0.38759736589986515,0.16218015906464525,0.281
procrustes,clip-base,mert-330m,300,nan,heldout,0.0,0.05,0.05,0.05,2,15,0.02,0.46202194690704346,0.7638234301464315,0.05815075201681892,0.04714142427281846,0.7638234301464315,0.6893679490051456,0.85630950575993,0.3318726187169994,0.19483291986412482,0.19768180143828906,0.5833116496478549,0.13419081727871035,0.215
direct,clip-base,mert-330m,300,nan,aggregate,0.0625,0.145,0.1725,0.29,1,15,0.1325,0.5369481444358826,0.2884672201170436,0.22270852606332894,0.10512948517499394,0.2884672201170436,0.25164980827398625,0.33790397464156774,0.25759971663907943,0.22010226092072624,0.21744189226661895,0.38759736589986515,0.04015782437246049,0.199
direct,clip-base,mert-330m,300,nan,heldout,0.0,0.0,0.0,0.0,0,15,0.05,0.4668082594871521,0.5896239893193458,0.03180868317704065,0.011726877246075278,0.5896239893193457,0.45537421011791124,0.8361231116442351,0.19493753962631508,0.1935619814300136,0.19768180143828906,0.5833116496478549,-0.002744261811973986,0.125
c-transitive,clip-base,mert-95m,300,0.5,aggregate,0.13,0.2575,0.32,0.4475,6,15,0.021500000000000005,0.17497365176677704,0.16531969571052796,0.07247674396104413,0.029521849133646832,0.165319695710528,0.16979322786565487,0.16107584005757014,0.3044521753552627,0.29253697817727903,0.21744189226661895,0.38759736589986515,0.08701028308864375,0.17175
c-transitive,clip-base,mert-95m,300,0.5,heldout,0.0,0.0,0.038461538461538464,0.23076923076923078,3,15,0.02307692307692308,-0.050521280616521835,0.6909919291906059,-0.0165266087187814,-0.013270445279398833,0.6909919291906059,0.6595530635746484,0.7255780004402858,0.288772419828379,0.2802127545537021,0.22090678392279223,0.6076263127174166,0.06786563590558675,0.15384615384615385
d,clip-base,mert-95m,0,0.7,aggregate,0.0525,0.1325,0.2225,0.3175,5,15,0.020500000000000004,0.5099044442176819,0.18587355736792258,0.09575376622369282,0.0341948458160529,0.1858735573679226,0.18951229331631625,0.18237192034519906,0.5263461313964125,0.48628640528825173,0.21744189226661895,0.38759736589986515,0.3089042391297936,0.12325
d,clip-base,mert-95m,0,0.7,heldout,0.07692307692307693,0.2692307692307692,0.4230769230769231,0.5384615384615384,3,15,0.015384615384615385,0.4071499705314636,0.6957388405492031,-0.07010550563747218,-0.05686146985041345,0.6957388405492032,0.6775897713267468,0.7148869039574608,0.4964248628382121,0.46613391726091485,0.22090678392279223,0.6076263127174166,0.27551807891541985,0.1576923076923077
unsup,clip-base,mert-95m,0,1.0,aggregate,0.005,0.0125,0.0225,0.05,2,15,0.09549999999999999,0.7933485507965088,0.3462460188288822,0.27297032515532627,0.18352058770736296,0.3462460188288822,0.34580498190368547,0.34668818218069186,0.21361184227388352,0.22546190693234266,0.21744189226661895,0.38759736589986515,-0.0038300499927354237,0.083
unsup,clip-base,mert-95m,0,1.0,heldout,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539,1,15,0.05384615384615385,0.6446001529693604,0.6839733240300265,0.1415424602489496,0.09912407140481207,0.6839733240300265,0.6128826745056443,0.7737201376054514,0.2523848186332085,0.2262574735161354,0.22090678392279223,0.6076263127174166,0.03147803471041627,0.1076923076923077
text,clip-base,mert-95m,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.0175,0.2899489402770996,0.21351474282054192,0.1306208323513224,0.0626926223664017,0.21351474282054192,0.2113342255486462,0.21574072575127975,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272,0.126
