K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,0.0,aggregate,0.0,0.015,0.0325,0.0825,2,15,0.0255,0.08426548540592194,0.22820542425130658,0.1367669397576235,0.07446671610801657,0.22820542425130658,0.22494742696943676,0.2315591820419533,0.221272974337642,0.23870043631452587,0.21744189226661895,0.38759736589986515,0.003831082071023062,0.10375,5.407054170299215
10,0.0,heldout,0.0,0.03333333333333333,0.06666666666666667,0.1,3,15,0.006666666666666667,0.10209914296865463,0.6651425508240943,0.19351242922364315,0.14741856253256258,0.6651425508240945,0.6543020804304023,0.676348282475097,0.2394537829559298,0.2453040315298437,0.22755996447907997,0.6457622410422182,0.011893818476849838,0.07,5.407054170299215
10,0.3,aggregate,0.005,0.0275,0.05,0.1075,2,15,0.0335,0.18514476716518402,0.2328612361238321,0.14323279503327632,0.07488719183855608,0.23286123612383208,0.2263864795158461,0.23971725911069344,0.239730221655652,0.24561535179966523,0.21744189226661895,0.38759736589986515,0.02228832938903305,0.10775,5.475816030084389
10,0.3,heldout,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,4,15,0.0,0.054918743669986725,0.6868525415822161,0.23522944121283654,0.22662083679032832,0.686852541582216,0.6747904108788338,0.6993537511704375,0.19739964619204925,0.2460143209566448,0.22755996447907997,0.6457622410422182,-0.030160318287030724,0.06000000000000001,5.475816030084389
10,0.5,aggregate,0.0075,0.0375,0.055,0.105,2,15,0.028999999999999998,0.20525705814361572,0.23847171234216458,0.15240519368866037,0.08255921159628636,0.23847171234216458,0.23073365612843255,0.24674679721466639,0.25431734643824305,0.24730435298392223,0.21744189226661895,0.38759736589986515,0.036875454171624106,0.11,5.544526009114017
10,0.5,heldout,0.0,0.0,0.03333333333333333,0.03333333333333333,3,15,0.013333333333333334,0.2732698917388916,0.7118288564847591,0.4011241202759974,0.5415882574331954,0.7118288564847591,0.6401361834237379,0.8016054350770611,0.18430021240713418,0.24504571843695172,0.22755996447907997,0.6457622410422182,-0.043259752071945795,0.04666666666666667,5.544526009114017
10,0.7,aggregate,0.0075,0.025,0.0575,0.11,2,15,0.029500000000000002,0.24029497802257538,0.28927859595206773,0.20743024737618562,0.08705700236352863,0.2892785959520677,0.28333543117246035,0.29547642686247155,0.2468762015066235,0.24785700833819682,0.21744189226661895,0.38759736589986515,0.029434309240004564,0.11825000000000001,5.634918545688314
10,0.7,heldout,0.0,0.0,0.03333333333333333,0.06666666666666667,4,15,0.020000000000000004,0.14209890365600586,0.6364672256757811,0.23037155232072357,0.25058451946347265,0.6364672256757811,0.5825368703368999,0.701401922219155,0.19637354250333447,0.24411383508858728,0.22755996447907997,0.6457622410422182,-0.031186421975745504,0.03333333333333333,5.634918545688314
10,0.9,aggregate,0.0,0.025,0.05,0.1025,1,15,0.0425,0.350862592458725,0.29610078039844623,0.21738874420175425,0.08539226579759511,0.2961007803984462,0.2792426028164799,0.3151252310061921,0.2702158628746425,0.24739258285512375,0.21744189226661895,0.38759736589986515,0.05277397060802355,0.12350000000000001,5.735477420123214
10,0.9,heldout,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,4,15,0.013333333333333334,0.30292391777038574,0.7108262513611738,0.37418485010846786,0.33264662049618654,0.7108262513611737,0.6617113300237363,0.7678167510199265,0.23826663743816923,0.24508713104757696,0.22755996447907997,0.6457622410422182,0.010706672959089253,0.060000000000000005,5.735477420123214
