method,K,alpha,scope,r_at_10,routes_correct,routes_total,nmi,core_hit,core_mean_size,metric_kind,plan_path,missing_reason
FGW transitive (identity bridge),50,0.0,heldout,0.03333333333333333,6,15,0.6565640623376533,0.03333333333333333,19.866666666666667,core_set,results/exp_c/plans/T__K50__a0.00.npy,
FGW transitive (identity bridge),50,0.3,aggregate,0.105,5,15,0.1723745559120502,0.195,23.7675,core_set,results/exp_c/plans/T__K50__a0.30.npy,
FGW transitive (identity bridge),50,0.3,heldout,0.03333333333333333,7,15,0.6072312824956785,0.03333333333333333,23.433333333333334,core_set,results/exp_c/plans/T__K50__a0.30.npy,
FGW transitive (identity bridge),50,0.5,aggregate,0.1025,5,15,0.20260602436932673,0.225,29.765,core_set,results/exp_c/plans/T__K50__a0.50.npy,
FGW transitive (identity bridge),50,0.5,heldout,0.03333333333333333,4,15,0.6761425410061477,0.03333333333333333,28.8,core_set,results/exp_c/plans/T__K50__a0.50.npy,
FGW transitive (identity bridge),50,0.7,aggregate,0.0925,5,15,0.23728103484391092,0.3025,39.555,core_set,results/exp_c/plans/T__K50__a0.70.npy,
FGW transitive (identity bridge),50,0.7,heldout,0.03333333333333333,7,15,0.719936479114745,0.1,38.5,core_set,results/exp_c/plans/T__K50__a0.70.npy,
FGW transitive (identity bridge),50,0.9,aggregate,0.08,2,15,0.2714193959625105,0.375,59.84,core_set,results/exp_c/plans/T__K50__a0.90.npy,
FGW transitive (identity bridge),50,0.9,heldout,0.06666666666666667,4,15,0.6607688107547386,0.26666666666666666,61.36666666666667,core_set,results/exp_c/plans/T__K50__a0.90.npy,
FGW transitive (identity bridge),100,0.0,aggregate,0.235,5,15,0.1691128544820716,0.2225,11.58,core_set,results/exp_c/plans/T__K100__a0.00.npy,
FGW transitive (identity bridge),100,0.0,heldout,0.06666666666666667,7,15,0.7094853066536316,0.06666666666666667,14.466666666666667,core_set,results/exp_c/plans/T__K100__a0.00.npy,
FGW transitive (identity bridge),100,0.3,aggregate,0.235,5,15,0.18573639498771835,0.2725,15.5375,core_set,results/exp_c/plans/T__K100__a0.30.npy,
FGW transitive (identity bridge),100,0.3,heldout,0.06666666666666667,8,15,0.6402895111778796,0.1,20.5,core_set,results/exp_c/plans/T__K100__a0.30.npy,
FGW transitive (identity bridge),100,0.5,aggregate,0.22,4,15,0.18975848201643186,0.315,20.33,core_set,results/exp_c/plans/T__K100__a0.50.npy,
FGW transitive (identity bridge),100,0.5,heldout,0.03333333333333333,8,15,0.5966355923969534,0.16666666666666666,26.433333333333334,core_set,results/exp_c/plans/T__K100__a0.50.npy,
FGW transitive (identity bridge),100,0.7,aggregate,0.1975,6,15,0.20763293075500172,0.3925,29.48,core_set,results/exp_c/plans/T__K100__a0.70.npy,
FGW transitive (identity bridge),100,0.7,heldout,0.03333333333333333,7,15,0.6106744971798385,0.26666666666666666,33.733333333333334,core_set,results/exp_c/plans/T__K100__a0.70.npy,
FGW transitive (identity bridge),100,0.9,aggregate,0.135,5,15,0.25097326869232367,0.4375,51.115,core_set,results/exp_c/plans/T__K100__a0.90.npy,
FGW transitive (identity bridge),100,0.9,heldout,0.1,7,15,0.6766404669576128,0.36666666666666664,55.63333333333333,core_set,results/exp_c/plans/T__K100__a0.90.npy,
FGW transitive (identity bridge),160,0.0,aggregate,0.3525,5,15,0.18099498251922652,0.33,8.755,core_set,results/exp_c/plans/T__K160__a0.00.npy,
FGW transitive (identity bridge),160,0.0,heldout,0.1,5,15,0.6115913183718147,0.06666666666666667,9.866666666666667,core_set,results/exp_c/plans/T__K160__a0.00.npy,
FGW transitive (identity bridge),160,0.3,aggregate,0.3325,5,15,0.1823295472302273,0.34,11.825,core_set,results/exp_c/plans/T__K160__a0.30.npy,
FGW transitive (identity bridge),160,0.3,heldout,0.06666666666666667,7,15,0.6239862559062549,0.13333333333333333,13.9,core_set,results/exp_c/plans/T__K160__a0.30.npy,
FGW transitive (identity bridge),160,0.5,aggregate,0.305,5,15,0.18569991147877807,0.37,15.4475,core_set,results/exp_c/plans/T__K160__a0.50.npy,
FGW transitive (identity bridge),160,0.5,heldout,0.1,6,15,0.6272650907902934,0.2,17.433333333333334,core_set,results/exp_c/plans/T__K160__a0.50.npy,
FGW transitive (identity bridge),160,0.7,aggregate,0.2975,7,15,0.20595974030220937,0.415,23.655,core_set,results/exp_c/plans/T__K160__a0.70.npy,
FGW transitive (identity bridge),160,0.7,heldout,0.16666666666666666,7,15,0.646108435160944,0.26666666666666666,27.766666666666666,core_set,results/exp_c/plans/T__K160__a0.70.npy,
FGW transitive (identity bridge),160,0.9,aggregate,0.16,4,15,0.23736473802562816,0.4475,46.12,core_set,results/exp_c/plans/T__K160__a0.90.npy,
FGW transitive (identity bridge),160,0.9,heldout,0.1,5,15,0.6578957626372242,0.4,51.46666666666667,core_set,results/exp_c/plans/T__K160__a0.90.npy,
FGW transitive (identity bridge),200,0.0,aggregate,0.44,8,15,0.1808345252635999,0.38,7.895,core_set,results/exp_c/plans/T__K200__a0.00.npy,
FGW transitive (identity bridge),200,0.0,heldout,0.13333333333333333,5,15,0.5910574400702495,0.06666666666666667,9.633333333333333,core_set,results/exp_c/plans/T__K200__a0.00.npy,
FGW transitive (identity bridge),200,0.3,aggregate,0.41,6,15,0.19212709296116423,0.4175,10.53,core_set,results/exp_c/plans/T__K200__a0.30.npy,
FGW transitive (identity bridge),200,0.3,heldout,0.13333333333333333,6,15,0.5963299129349772,0.16666666666666666,12.9,core_set,results/exp_c/plans/T__K200__a0.30.npy,
FGW transitive (identity bridge),200,0.5,aggregate,0.4075,7,15,0.19287079656939915,0.4575,14.3275,core_set,results/exp_c/plans/T__K200__a0.50.npy,
FGW transitive (identity bridge),200,0.5,heldout,0.13333333333333333,5,15,0.612184567997113,0.26666666666666666,16.7,core_set,results/exp_c/plans/T__K200__a0.50.npy,
FGW transitive (identity bridge),200,0.7,aggregate,0.36,7,15,0.200964725089925,0.46,21.88,core_set,results/exp_c/plans/T__K200__a0.70.npy,
FGW transitive (identity bridge),200,0.7,heldout,0.2,6,15,0.6049166249639083,0.3,26.066666666666666,core_set,results/exp_c/plans/T__K200__a0.70.npy,
FGW transitive (identity bridge),200,0.9,aggregate,0.1925,4,15,0.22433667532214543,0.45,44.59,core_set,results/exp_c/plans/T__K200__a0.90.npy,
FGW transitive (identity bridge),200,0.9,heldout,0.13333333333333333,6,15,0.6705145223387966,0.43333333333333335,48.8,core_set,results/exp_c/plans/T__K200__a0.90.npy,
FGW transitive (identity bridge),300,0.0,aggregate,0.6,8,15,0.21219757979920434,0.545,6.1075,core_set,results/exp_c/plans/T__K300__a0.00.npy,
FGW transitive (identity bridge),300,0.0,heldout,0.2,8,15,0.7203351245504811,0.2,8.633333333333333,core_set,results/exp_c/plans/T__K300__a0.00.npy,
FGW transitive (identity bridge),300,0.3,aggregate,0.585,8,15,0.20517557112213802,0.5675,8.5225,core_set,results/exp_c/plans/T__K300__a0.30.npy,
FGW transitive (identity bridge),300,0.3,heldout,0.2,8,15,0.7427629576368945,0.23333333333333334,11.866666666666667,core_set,results/exp_c/plans/T__K300__a0.30.npy,
FGW transitive (identity bridge),300,0.5,aggregate,0.5625,8,15,0.21409440339281657,0.57,11.4525,core_set,results/exp_c/plans/T__K300__a0.50.npy,
FGW transitive (identity bridge),300,0.5,heldout,0.26666666666666666,7,15,0.7401971216216057,0.3,15.633333333333333,core_set,results/exp_c/plans/T__K300__a0.50.npy,
FGW transitive (identity bridge),300,0.7,aggregate,0.4775,8,15,0.22156034253316875,0.5675,18.0,core_set,results/exp_c/plans/T__K300__a0.70.npy,
FGW transitive (identity bridge),300,0.7,heldout,0.23333333333333334,8,15,0.6604673126992661,0.4,22.933333333333334,core_set,results/exp_c/plans/T__K300__a0.70.npy,
FGW transitive (identity bridge),300,0.9,aggregate,0.285,4,15,0.23232994470873464,0.53,40.2325,core_set,results/exp_c/plans/T__K300__a0.90.npy,
FGW transitive (identity bridge),300,0.9,heldout,0.16666666666666666,5,15,0.6874622806295284,0.4,45.733333333333334,core_set,results/exp_c/plans/T__K300__a0.90.npy,
Random baseline,0,nan,aggregate,0.025,0,15,0.11477795821322562,0.21,84.225,core_set,results/exp_random/T_random.npy,
Random baseline,0,nan,heldout,0.03333333333333333,4,15,0.5865588343019308,0.23333333333333334,84.63333333333334,core_set,results/exp_random/T_random.npy,
"Text baseline (cosine sim, NOT row-stochastic)",0,nan,aggregate,0.2325,2,15,0.25784025710385416,,,r10_over_10,,
"Text baseline (cosine sim, NOT row-stochastic)",0,nan,heldout,0.3,5,15,0.6831085595068951,,,r10_over_10,,
